userID,ISBN,bookRating
190925,055356451X,0
194669,055356451X,0
194803,055356451X,0
196047,055356451X,0
196891,055356451X,10
197961,055356451X,0
198711,055356451X,0
200226,055356451X,0
200674,055356451X,0
205938,055356451X,0
207971,055356451X,9
208147,055356451X,0
208382,055356451X,8
208568,055356451X,10
212216,055356451X,0
213925,055356451X,9
217375,055356451X,0
220158,055356451X,0
221870,055356451X,0
223326,055356451X,7
225087,055356451X,10
225449,055356451X,9
226545,055356451X,0
226569,055356451X,0
227520,055356451X,0
227702,055356451X,0
229331,055356451X,0
230249,055356451X,0
232131,055356451X,0
232243,055356451X,0
232945,055356451X,0
236959,055356451X,0
238120,055356451X,0
242106,055356451X,0
242824,055356451X,0
244593,055356451X,0
245534,055356451X,7
247664,055356451X,7
247752,055356451X,10
251843,055356451X,10
254144,055356451X,9
257024,055356451X,0
258185,055356451X,9
258270,055356451X,10
258884,055356451X,5
261780,055356451X,7
262459,055356451X,0
262541,055356451X,8
266470,055356451X,6
267738,055356451X,0
268026,055356451X,0
275821,055356451X,8
276747,1570231028,0
262940,1570231028,0
276751,3596218098,8
20849,3596218098,0
21155,3596218098,0
102322,3596218098,0
119512,3596218098,0
137496,3596218098,0
215225,3596218098,0
276762,034544003X,0
29259,034544003X,0
35050,034544003X,0
98391,034544003X,9
134797,034544003X,0
146345,034544003X,8
155173,034544003X,0
177113,034544003X,0
178199,034544003X,7
181033,034544003X,8
217375,034544003X,0
222779,034544003X,7
225087,034544003X,0
235105,034544003X,8
269566,034544003X,0
276762,3404122879,0
159390,3404122879,10
276762,3426690179,0
93532,3426690179,0
276762,3442424216,0
78941,3442424216,0
98707,3442424216,7
125276,3442424216,6
142454,3442424216,0
245839,3442424216,0
276762,3453092007,8
4114,3453092007,0
35433,3453092007,8
95220,3453092007,0
152805,3453092007,8
276762,3453877241,0
196493,3453877241,0
276762,3596125006,0
150533,3596125006,0
261105,3596125006,0
276772,3499230933,10
11676,3499230933,1
17702,3499230933,2
68328,3499230933,10
75115,3499230933,0
97486,3499230933,10
151762,3499230933,0
175430,3499230933,10
186628,3499230933,0
274803,3499230933,0
276772,3596151465,10
41976,3596151465,0
72551,3596151465,5
276774,3404147723,0
134487,3404147723,5
208830,3404147723,8
276774,3442136644,9
35407,3442136644,8
35712,3442136644,0
66423,3442136644,0
79933,3442136644,0
98132,3442136644,0
134622,3442136644,0
149786,3442136644,0
175996,3442136644,8
191756,3442136644,0
235113,3442136644,0
274803,3442136644,0
276774,3492232000,0
162162,3492232000,10
173632,3492232000,0
219654,3492232000,0
276780,8434811634,0
15542,8434811634,7
184386,8434811634,8
276786,8445072919,0
131126,8445072919,0
276786,8478442588,6
11676,8478442588,7
76699,8478442588,9
87733,8478442588,0
276788,043935806X,7
278356,043935806X,10
254,043935806X,0
2033,043935806X,9
4896,043935806X,0
6251,043935806X,9
6431,043935806X,10
6563,043935806X,10
6575,043935806X,0
7958,043935806X,0
9908,043935806X,7
10560,043935806X,10
11676,043935806X,0
12272,043935806X,10
13082,043935806X,10
14363,043935806X,9
16532,043935806X,0
18067,043935806X,0
18411,043935806X,10
21014,043935806X,0
21576,043935806X,9
22241,043935806X,8
22625,043935806X,10
23571,043935806X,0
24186,043935806X,9
25409,043935806X,10
25919,043935806X,10
25981,043935806X,0
26730,043935806X,0
27140,043935806X,0
28150,043935806X,9
29482,043935806X,7
30445,043935806X,10
30487,043935806X,0
30711,043935806X,8
30735,043935806X,10
31816,043935806X,0
31826,043935806X,0
32122,043935806X,10
33576,043935806X,10
35148,043935806X,10
35859,043935806X,0
36003,043935806X,10
38281,043935806X,7
38906,043935806X,10
39610,043935806X,0
39616,043935806X,0
39773,043935806X,0
40415,043935806X,7
40943,043935806X,0
43806,043935806X,10
45035,043935806X,10
48213,043935806X,0
48217,043935806X,0
51883,043935806X,0
52199,043935806X,0
52350,043935806X,9
52993,043935806X,10
53254,043935806X,9
53678,043935806X,9
53759,043935806X,9
54335,043935806X,10
54429,043935806X,10
55492,043935806X,9
58855,043935806X,0
60031,043935806X,0
63394,043935806X,0
66942,043935806X,7
68643,043935806X,5
69156,043935806X,8
69232,043935806X,0
69389,043935806X,8
69697,043935806X,10
71521,043935806X,7
73681,043935806X,0
74056,043935806X,10
74185,043935806X,10
74286,043935806X,0
75591,043935806X,0
75819,043935806X,10
76626,043935806X,7
77480,043935806X,0
78553,043935806X,10
78834,043935806X,10
78973,043935806X,0
81274,043935806X,9
81370,043935806X,0
81484,043935806X,10
82151,043935806X,0
82831,043935806X,0
84479,043935806X,10
85367,043935806X,10
85426,043935806X,0
85993,043935806X,10
86849,043935806X,8
87141,043935806X,0
87938,043935806X,8
88170,043935806X,0
88435,043935806X,10
88733,043935806X,8
89306,043935806X,9
90174,043935806X,7
90736,043935806X,8
91184,043935806X,7
93642,043935806X,0
94347,043935806X,0
94549,043935806X,10
94787,043935806X,9
94793,043935806X,0
95359,043935806X,10
95932,043935806X,0
97290,043935806X,10
98741,043935806X,0
98904,043935806X,5
99720,043935806X,9
100227,043935806X,10
100906,043935806X,7
101209,043935806X,5
101624,043935806X,0
101851,043935806X,10
102647,043935806X,9
103541,043935806X,9
104362,043935806X,6
104812,043935806X,6
105221,043935806X,10
105517,043935806X,4
105881,043935806X,0
108243,043935806X,10
109518,043935806X,0
110373,043935806X,0
110836,043935806X,0
111166,043935806X,10
111847,043935806X,0
114446,043935806X,10
114581,043935806X,0
115490,043935806X,0
115572,043935806X,10
116904,043935806X,10
117652,043935806X,6
119858,043935806X,0
120579,043935806X,0
120740,043935806X,9
122988,043935806X,0
123257,043935806X,10
123430,043935806X,0
124597,043935806X,8
124717,043935806X,10
125031,043935806X,0
125774,043935806X,0
126693,043935806X,10
126829,043935806X,9
127233,043935806X,8
128434,043935806X,10
131594,043935806X,0
132141,043935806X,10
132901,043935806X,8
134395,043935806X,0
134529,043935806X,10
135149,043935806X,9
136491,043935806X,9
137742,043935806X,9
137849,043935806X,8
138239,043935806X,0
138300,043935806X,10
138602,043935806X,10
138815,043935806X,10
140000,043935806X,0
141338,043935806X,0
141511,043935806X,8
143163,043935806X,10
144478,043935806X,10
145449,043935806X,7
145451,043935806X,0
146803,043935806X,8
147141,043935806X,10
147752,043935806X,10
149084,043935806X,9
150124,043935806X,0
151503,043935806X,10
151991,043935806X,0
153054,043935806X,9
153367,043935806X,10
153662,043935806X,10
156150,043935806X,8
159506,043935806X,8
159546,043935806X,0
162526,043935806X,0
164048,043935806X,10
164465,043935806X,0
164581,043935806X,0
167800,043935806X,0
168954,043935806X,10
169507,043935806X,10
169682,043935806X,10
170513,043935806X,0
170634,043935806X,10
170869,043935806X,0
171011,043935806X,10
172119,043935806X,7
173684,043935806X,0
174596,043935806X,6
175003,043935806X,10
175070,043935806X,9
175254,043935806X,0
175304,043935806X,10
177073,043935806X,0
179501,043935806X,10
179734,043935806X,10
179978,043935806X,10
180591,043935806X,7
182847,043935806X,10
182969,043935806X,0
183061,043935806X,10
183088,043935806X,0
184354,043935806X,0
185176,043935806X,10
185233,043935806X,10
186784,043935806X,9
186811,043935806X,0
188273,043935806X,0
189631,043935806X,0
189996,043935806X,10
190708,043935806X,10
190831,043935806X,0
190953,043935806X,10
193469,043935806X,10
195904,043935806X,10
196052,043935806X,8
196288,043935806X,10
198621,043935806X,0
198711,043935806X,4
199209,043935806X,9
201290,043935806X,0
201445,043935806X,0
201673,043935806X,0
201783,043935806X,9
203020,043935806X,0
203075,043935806X,0
204813,043935806X,0
206567,043935806X,0
208141,043935806X,9
208406,043935806X,10
208815,043935806X,10
211426,043935806X,0
212088,043935806X,10
212645,043935806X,0
213256,043935806X,10
213628,043935806X,8
215912,043935806X,0
215986,043935806X,9
217292,043935806X,0
219301,043935806X,8
220688,043935806X,10
223431,043935806X,10
224525,043935806X,0
224764,043935806X,0
224997,043935806X,10
225078,043935806X,8
225887,043935806X,10
226006,043935806X,0
226965,043935806X,10
227397,043935806X,10
229687,043935806X,9
229741,043935806X,8
229768,043935806X,10
230374,043935806X,7
230522,043935806X,0
231081,043935806X,10
231354,043935806X,8
231827,043935806X,0
231848,043935806X,7
232099,043935806X,0
232131,043935806X,0
232320,043935806X,0
232964,043935806X,9
233196,043935806X,0
234359,043935806X,0
235105,043935806X,9
235429,043935806X,0
235498,043935806X,0
236280,043935806X,8
237173,043935806X,0
238120,043935806X,0
238540,043935806X,0
238610,043935806X,0
239609,043935806X,10
240144,043935806X,10
240280,043935806X,8
240403,043935806X,10
240528,043935806X,10
240570,043935806X,10
240829,043935806X,0
242083,043935806X,7
242106,043935806X,10
242409,043935806X,10
243058,043935806X,7
244657,043935806X,8
246247,043935806X,0
247129,043935806X,0
247447,043935806X,9
247452,043935806X,8
248477,043935806X,9
248815,043935806X,0
249894,043935806X,8
250729,043935806X,0
252829,043935806X,10
253482,043935806X,10
254899,043935806X,0
256167,043935806X,0
257204,043935806X,0
258534,043935806X,0
259166,043935806X,0
260699,043935806X,0
260719,043935806X,10
260897,043935806X,9
262118,043935806X,10
262568,043935806X,7
264317,043935806X,0
264525,043935806X,10
265562,043935806X,9
265889,043935806X,10
266226,043935806X,0
266650,043935806X,0
267830,043935806X,6
268030,043935806X,0
268330,043935806X,0
269331,043935806X,7
271176,043935806X,10
271448,043935806X,10
272810,043935806X,10
274308,043935806X,0
275401,043935806X,9
276077,043935806X,10
276165,043935806X,10
276788,055310666X,10
7158,055310666X,0
20418,055310666X,0
22608,055310666X,0
32861,055310666X,0
36606,055310666X,5
41687,055310666X,8
55202,055310666X,0
61205,055310666X,0
66853,055310666X,0
72636,055310666X,6
73394,055310666X,8
75529,055310666X,7
76626,055310666X,0
86959,055310666X,0
91100,055310666X,0
102153,055310666X,0
106479,055310666X,0
107384,055310666X,0
115888,055310666X,0
117390,055310666X,0
130474,055310666X,8
136205,055310666X,9
136326,055310666X,9
138097,055310666X,0
145826,055310666X,9
149908,055310666X,8
162639,055310666X,0
175117,055310666X,0
184299,055310666X,0
187256,055310666X,10
191187,055310666X,0
207499,055310666X,5
214272,055310666X,0
214954,055310666X,0
237271,055310666X,8
245963,055310666X,0
276798,3423084049,0
21070,3423084049,7
36137,3423084049,9
85047,3423084049,9
85433,3423084049,9
94525,3423084049,7
153442,3423084049,2
174480,3423084049,0
176047,3423084049,5
235034,3423084049,5
258190,3423084049,0
275573,3423084049,0
276798,3442131340,7
41227,3442131340,10
120139,3442131340,0
276798,3446202102,0
11676,3446202102,0
68498,3446202102,0
154020,3446202102,8
180280,3446202102,10
214714,3446202102,7
276798,3453073398,0
67111,3453073398,9
98202,3453073398,8
267582,3453073398,0
276798,3453115783,0
52544,3453115783,6
224332,3453115783,0
276798,349915398X,0
22710,349915398X,0
143909,349915398X,9
185287,349915398X,3
245499,349915398X,0
276798,3548603203,6
277375,3548603203,0
2545,3548603203,0
11676,3548603203,9
25074,3548603203,9
79590,3548603203,6
90830,3548603203,6
123947,3548603203,9
131122,3548603203,9
134735,3548603203,0
141016,3548603203,0
160405,3548603203,0
160406,3548603203,0
160407,3548603203,0
160408,3548603203,0
160409,3548603203,0
160410,3548603203,0
160413,3548603203,0
160414,3548603203,0
160415,3548603203,0
160416,3548603203,0
167492,3548603203,10
274220,3548603203,10
276614,3548603203,8
276813,8423996565,8
11676,8423996565,8
15723,8423996565,6
187343,8423996565,0
276813,8426449476,8
38409,8426449476,8
49144,8426449476,5
75343,8426449476,9
178889,8426449476,0
217726,8426449476,8
236213,8426449476,0
276813,8426449573,6
77114,8426449573,6
217740,8426449573,5
276813,8478885218,6
49155,8478885218,9
230289,8478885218,7
276813,8495618052,0
49155,8495618052,0
195714,8495618052,0
276822,038076041X,10
15093,038076041X,7
23288,038076041X,0
204206,038076041X,9
209148,038076041X,10
276822,1573248533,10
98741,1573248533,0
200674,1573248533,10
276828,2038701962,0
17789,2038701962,8
72992,2038701962,7
200918,2038701962,0
276828,2070264564,0
56124,2070264564,0
72992,2070264564,0
74505,2070264564,0
276828,2070334430,0
14232,2070334430,0
183287,2070334430,0
276828,2070403734,0
14232,2070403734,0
64373,2070403734,0
200918,2070403734,0
206865,2070403734,4
239630,2070403734,0
276828,2080680676,0
216401,2080680676,0
276828,2232122263,0
276828,2253044903,0
277681,2253044903,0
5208,2253044903,0
8890,2253044903,10
11676,2253044903,10
14232,2253044903,0
15589,2253044903,0
18356,2253044903,10
25466,2253044903,6
26443,2253044903,0
32721,2253044903,9
52203,2253044903,0
74172,2253044903,8
74505,2253044903,6
80603,2253044903,0
82171,2253044903,9
90232,2253044903,9
124617,2253044903,0
125203,2253044903,7
131441,2253044903,9
140725,2253044903,9
145558,2253044903,0
147649,2253044903,0
156033,2253044903,0
164944,2253044903,0
176459,2253044903,0
177660,2253044903,10
192684,2253044903,0
197685,2253044903,9
222912,2253044903,8
224360,2253044903,8
226184,2253044903,8
234281,2253044903,0
257033,2253044903,0
257453,2253044903,8
258609,2253044903,8
259155,2253044903,10
274881,2253044903,0
276828,2253150711,7
277681,2253150711,0
17788,2253150711,7
25436,2253150711,7
39732,2253150711,8
53628,2253150711,0
56039,2253150711,0
74215,2253150711,0
82171,2253150711,6
87209,2253150711,8
90105,2253150711,9
90232,2253150711,9
122037,2253150711,0
129503,2253150711,7
140288,2253150711,8
141601,2253150711,8
147649,2253150711,7
154441,2253150711,10
173999,2253150711,0
178405,2253150711,8
187598,2253150711,10
193162,2253150711,0
196261,2253150711,8
211610,2253150711,9
215225,2253150711,0
215947,2253150711,9
225414,2253150711,7
229876,2253150711,8
239594,2253150711,8
245877,2253150711,8
261105,2253150711,0
271956,2253150711,0
276828,2266076000,0
90105,2266076000,0
142649,2266076000,6
276828,2277221678,0
11676,2277221678,6
14232,2277221678,9
53688,2277221678,0
157082,2277221678,10
223386,2277221678,0
275006,2277221678,0
276828,2290321028,0
17789,2290321028,7
276828,2842190009,0
8619,2842190009,0
72992,2842190009,0
216401,2842190009,0
271707,2842190009,0
276838,1593080255,0
3675,1593080255,10
14079,1593080255,8
39151,1593080255,0
59971,1593080255,0
64436,1593080255,0
77809,1593080255,0
105536,1593080255,9
115207,1593080255,0
174538,1593080255,0
180556,1593080255,0
182429,1593080255,0
214876,1593080255,9
225986,1593080255,0
244286,1593080255,0
247628,1593080255,0
276847,3379015180,0
11676,3379015180,9
12081,3379015180,3
34521,3379015180,7
36094,3379015180,7
36137,3379015180,10
45148,3379015180,5
52323,3379015180,8
56360,3379015180,6
58076,3379015180,0
72601,3379015180,0
82326,3379015180,10
89361,3379015180,0
91825,3379015180,0
99548,3379015180,7
102196,3379015180,7
102322,3379015180,0
119397,3379015180,8
126033,3379015180,8
126748,3379015180,0
142932,3379015180,0
155149,3379015180,10
162233,3379015180,8
173632,3379015180,10
176736,3379015180,10
178686,3379015180,6
188662,3379015180,0
204825,3379015180,0
220006,3379015180,5
222404,3379015180,0
222488,3379015180,0
232835,3379015180,0
233499,3379015180,8
241198,3379015180,0
257430,3379015180,2
264473,3379015180,2
273906,3379015180,0
274719,3379015180,5
275573,3379015180,10
276847,3404145909,8
20858,3404145909,0
21155,3404145909,0
142454,3404145909,0
237607,3404145909,0
276847,3404148576,8
28183,3404148576,8
30810,3404148576,9
35490,3404148576,0
71562,3404148576,0
89361,3404148576,0
132500,3404148576,6
183926,3404148576,8
196009,3404148576,8
208121,3404148576,6
214620,3404148576,0
215225,3404148576,8
219654,3404148576,0
222572,3404148576,1
260902,3404148576,5
276847,3404921178,7
11676,3404921178,8
13723,3404921178,10
41227,3404921178,0
90481,3404921178,7
132500,3404921178,0
140863,3404921178,6
276847,3423071516,10
11676,3423071516,0
41698,3423071516,10
58468,3423071516,10
61762,3423071516,9
75181,3423071516,7
84345,3423071516,9
92693,3423071516,10
119439,3423071516,7
126987,3423071516,8
128672,3423071516,0
180369,3423071516,10
204825,3423071516,8
215745,3423071516,10
245294,3423071516,9
276847,3426671298,8
45484,3426671298,8
261307,3426671298,0
276847,3442413508,10
7254,3442413508,0
12835,3442413508,0
28537,3442413508,7
78941,3442413508,0
92405,3442413508,0
103700,3442413508,2
130899,3442413508,0
140080,3442413508,9
140335,3442413508,5
175493,3442413508,0
243847,3442413508,7
275573,3442413508,0
276847,3442422035,9
28537,3442422035,8
35778,3442422035,0
89340,3442422035,0
243847,3442422035,7
276847,3442435773,8
20849,3442435773,0
28537,3442435773,0
35490,3442435773,0
80754,3442435773,0
103454,3442435773,8
115589,3442435773,5
140080,3442435773,9
141896,3442435773,6
276847,3442437717,7
11676,3442437717,7
16621,3442437717,0
28537,3442437717,9
36137,3442437717,10
56383,3442437717,0
78941,3442437717,0
90882,3442437717,0
92282,3442437717,0
101060,3442437717,0
140080,3442437717,9
141044,3442437717,7
170612,3442437717,9
248311,3442437717,0
276847,3442441080,10
5260,3442441080,0
80075,3442441080,9
130271,3442441080,9
140080,3442441080,9
194957,3442441080,0
201548,3442441080,10
209841,3442441080,0
239756,3442441080,10
276847,3442442796,0
30727,3442442796,7
173679,3442442796,0
276847,3442444020,8
4223,3442444020,6
20849,3442444020,0
20854,3442444020,0
27741,3442444020,9
28537,3442444020,0
35490,3442444020,0
41347,3442444020,0
79315,3442444020,0
97314,3442444020,5
193962,3442444020,0
237962,3442444020,0
276847,3442446414,10
11676,3442446414,9
14461,3442446414,8
14938,3442446414,0
71418,3442446414,0
124010,3442446414,10
149725,3442446414,7
153869,3442446414,0
181508,3442446414,0
205166,3442446414,0
205708,3442446414,10
206600,3442446414,6
222391,3442446414,0
227176,3442446414,8
229192,3442446414,0
230336,3442446414,8
275412,3442446414,0
276847,3442448530,7
11676,3442448530,0
20854,3442448530,0
22710,3442448530,0
29351,3442448530,5
76884,3442448530,0
81378,3442448530,0
83853,3442448530,4
132828,3442448530,0
140822,3442448530,8
154186,3442448530,7
157108,3442448530,0
160032,3442448530,0
163517,3442448530,0
194957,3442448530,5
195997,3442448530,0
269826,3442448530,0
276847,3442449820,9
159095,3442449820,4
159836,3442449820,10
194339,3442449820,7
243768,3442449820,7
276847,3453137442,6
12835,3453137442,7
185359,3453137442,0
201548,3453137442,8
276847,3453870190,0
132773,3453870190,5
276847,347354034X,7
4420,347354034X,9
57449,347354034X,0
61147,347354034X,9
88283,347354034X,0
100194,347354034X,10
258913,347354034X,9
263149,347354034X,8
276847,3492231322,9
35433,3492231322,7
276847,349912176X,0
35718,349912176X,0
58168,349912176X,7
81705,349912176X,6
220081,349912176X,5
276847,3499232529,0
115589,3499232529,0
276847,3499264528,0
196009,3499264528,8
276847,3506464078,10
61297,3506464078,0
276847,3548602967,0
132682,3548602967,7
185510,3548602967,0
276847,3551551677,10
11676,3551551677,8
13032,3551551677,6
18134,3551551677,10
27100,3551551677,0
48268,3551551677,0
54997,3551551677,8
55927,3551551677,10
66483,3551551677,10
104657,3551551677,0
117852,3551551677,0
135367,3551551677,10
143103,3551551677,10
156508,3551551677,0
196493,3551551677,8
231891,3551551677,0
237518,3551551677,9
239488,3551551677,10
248607,3551551677,8
260859,3551551677,8
274831,3551551677,4
276847,3551551685,10
27100,3551551685,0
35433,3551551685,0
66483,3551551685,10
135367,3551551685,10
143103,3551551685,10
150324,3551551685,0
162306,3551551685,8
167492,3551551685,8
180280,3551551685,10
196493,3551551685,9
231891,3551551685,7
237518,3551551685,0
239488,3551551685,10
260859,3551551685,9
276847,3551551693,10
18134,3551551693,10
27100,3551551693,0
66483,3551551693,10
92693,3551551693,0
135367,3551551693,10
143103,3551551693,10
180280,3551551693,10
231891,3551551693,0
234448,3551551693,0
237518,3551551693,9
239488,3551551693,10
260859,3551551693,8
263149,3551551693,8
276847,3551551936,10
18134,3551551936,10
66483,3551551936,10
78231,3551551936,10
107951,3551551936,9
135367,3551551936,10
143103,3551551936,10
162306,3551551936,9
231891,3551551936,0
234448,3551551936,0
239488,3551551936,10
263149,3551551936,8
276847,359621078X,9
61762,359621078X,8
72771,359621078X,10
239594,359621078X,10
251204,359621078X,0
276847,360893541X,10
276861,360893541X,9
79687,360893541X,10
163286,360893541X,10
164307,360893541X,8
211460,360893541X,10
222150,360893541X,3
236186,360893541X,0
274111,360893541X,0
276847,3608935428,10
276861,3608935428,9
79687,3608935428,10
163286,3608935428,10
211460,3608935428,10
274111,3608935428,0
276847,3608935436,10
276861,3608935436,9
79687,3608935436,10
211460,3608935436,10
274111,3608935436,0
276847,374661922X,0
13215,374661922X,0
30810,374661922X,0
191756,374661922X,8
192964,374661922X,0
215225,374661922X,9
230427,374661922X,9
274803,374661922X,0
276847,3770131495,0
269391,3770131495,0
276848,3442440777,0
